id,stock_id,broker_id,stock_code,stock_name,broker_code,date,buy_volume,buy_value,buy_ave_price,buy_market_val_percent,buy_trade_count,sell_volume,sell_value,sell_ave_price,sell_market_val_percent,sell_trade_count,net_volume,net_value,total_volume,total_value
1876064,101,243,SM,SM Investments Corporation,FIDELITY,2020-06-01,4500,4156750.0,923.722222222222,0.66,28,4500,4153230.0,922.94,0.66,70,0,3520.0,9000,8309980
1876065,101,252,SM,SM Investments Corporation,FIRSTRES,2020-06-01,2750,2480000.0,901.818181818182,0.4,4,4050,3649225.0,901.043209876543,0.59,42,-1300,-1169225.0,6800,6129225
1876066,101,253,SM,SM Investments Corporation,TOWER,2020-06-01,100,87500.0,875.0,0.01,1,0,0.0,0.0,0.0,0,100,87500.0,100,87500
1876067,101,259,SM,SM Investments Corporation,UCPB,2020-06-01,0,0.0,0.0,0.0,0,1320,1207860.0,915.045454545455,0.19,13,-1320,-1207860.0,1320,1207860
1876068,101,263,SM,SM Investments Corporation,VENTURE,2020-06-01,450,399000.0,886.666666666667,0.07,4,450,403025.0,895.611111111111,0.07,5,0,-4025.0,900,802025
1876069,101,267,SM,SM Investments Corporation,FIRSTMETRO,2020-06-01,420,379860.0,904.428571428571,0.06,21,7350,6732985.0,916.052380952381,1.08,109,-6930,-6353125.0,7770,7112845
1876070,101,269,SM,SM Investments Corporation,WEALTH,2020-06-01,28530,26215335.0,918.869085173502,4.18,251,2340,2154745.0,920.831196581197,0.34,17,26190,24060590.0,30870,28370080
1876071,101,270,SM,SM Investments Corporation,WESTLINK,2020-06-01,300,269980.0,899.933333333333,0.04,11,300,270650.0,902.166666666667,0.04,8,0,-670.0,600,540630
1876072,101,279,SM,SM Investments Corporation,BDO,2020-06-01,0,0.0,0.0,0.0,0,8200,7443900.0,907.792682926829,1.2,80,-8200,-7443900.0,8200,7443900
1876073,101,285,SM,SM Investments Corporation,G_TOWER,2020-06-01,2400,2168110.0,903.379166666667,0.35,22,2400,2170450.0,904.354166666667,0.35,41,0,-2340.0,4800,4338560
1876074,101,323,SM,SM Investments Corporation,CLSA,2020-06-01,154130,141178455.0,915.969992863167,22.61,1211,53500,48448345.0,905.576542056075,7.85,155,100630,92730110.0,207630,189626800
1876075,101,333,SM,SM Investments Corporation,UBS,2020-06-01,37610,33895920.0,901.247540547727,5.52,388,62980,57123985.0,907.017862813592,9.24,629,-25370,-23228065.0,100590,91019905
1876076,101,338,SM,SM Investments Corporation,PEP,2020-06-01,13480,12302455.0,912.645029673591,1.98,59,80130,72725095.0,907.588855609634,11.75,502,-66650,-60422640.0,93610,85027550
1876077,101,345,SM,SM Investments Corporation,UNICAP,2020-06-01,0,0.0,0.0,0.0,0,10,9200.0,920.0,0.0,1,-10,-9200.0,10,9200
1876078,101,488,SM,SM Investments Corporation,TIMSON,2020-06-01,79270,71984345.0,908.090639586224,11.63,723,78210,71215405.0,910.566487661424,11.47,1153,1060,768940.0,157480,143199750
1876079,101,537,SM,SM Investments Corporation,CSUISSE,2020-06-01,63120,57463050.0,910.377851711027,9.26,1399,28130,25504150.0,906.653039459652,4.13,829,34990,31958900.0,91250,82967200
1876080,101,102,SM,SM Investments Corporation,ABACUS,2020-06-02,1000,949070.0,949.07,0.07,11,14400,13608150.0,945.010416666667,0.98,69,-13400,-12659080.0,15400,14557220
1876081,101,103,SM,SM Investments Corporation,PHLSTOCK,2020-06-02,70,64845.0,926.357142857143,0.0,5,120,111220.0,926.833333333333,0.01,6,-50,-46375.0,190,176065
1876082,101,109,SM,SM Investments Corporation,BA,2020-06-02,0,0.0,0.0,0.0,0,12030,11429890.0,950.115544472153,0.82,92,-12030,-11429890.0,12030,11429890
1876083,101,110,SM,SM Investments Corporation,ANGPING,2020-06-02,0,0.0,0.0,0.0,0,4500,4266370.0,948.082222222222,0.3,39,-4500,-4266370.0,4500,4266370
1876084,101,112,SM,SM Investments Corporation,ABCAP,2020-06-02,20,18660.0,933.0,0.0,2,1410,1337975.0,948.918439716312,0.1,8,-1390,-1319315.0,1430,1356635
1876085,101,115,SM,SM Investments Corporation,SB-EQTY,2020-06-02,360,340560.0,946.0,0.02,1,5960,5648410.0,947.719798657718,0.4,40,-5600,-5307850.0,6320,5988970
1876086,101,118,SM,SM Investments Corporation,ASIASEC,2020-06-02,3530,3339380.0,946.0,0.24,2,6190,5850585.0,945.167205169629,0.42,35,-2660,-2511205.0,9720,9189965
1876087,101,119,SM,SM Investments Corporation,ASTRA,2020-06-02,1000,949000.0,949.0,0.07,3,1000,945430.0,945.43,0.07,8,0,3570.0,2000,1894430
1876088,101,120,SM,SM Investments Corporation,CBSC,2020-06-02,0,0.0,0.0,0.0,0,480,453240.0,944.25,0.03,3,-480,-453240.0,480,453240
1876089,101,121,SM,SM Investments Corporation,MACQUAR,2020-06-02,0,0.0,0.0,0.0,0,2000,1900000.0,950.0,0.14,11,-2000,-1900000.0,2000,1900000
1876090,101,126,SM,SM Investments Corporation,BPI,2020-06-02,210,198120.0,943.428571428571,0.01,12,6380,6039780.0,946.673981191223,0.43,24,-6170,-5841660.0,6590,6237900
1876091,101,131,SM,SM Investments Corporation,NOMURA,2020-06-02,14450,13726570.0,949.935640138408,0.98,13,15200,14428785.0,949.262171052632,1.03,26,-750,-702215.0,29650,28155355
1876092,101,133,SM,SM Investments Corporation,COL,2020-06-02,2000,1891275.0,945.6375,0.14,97,8620,8125815.0,942.669953596288,0.58,182,-6620,-6234540.0,10620,10017090
1876093,101,142,SM,SM Investments Corporation,DBP_DWA,2020-06-02,740,692210.0,935.418918918919,0.05,24,5800,5495000.0,947.413793103448,0.39,59,-5060,-4802790.0,6540,6187210
1876094,101,162,SM,SM Investments Corporation,F_YAP,2020-06-02,6690,6349870.0,949.158445440957,0.45,29,7340,6954090.0,947.423705722071,0.5,13,-650,-604220.0,14030,13303960
1876095,101,168,SM,SM Investments Corporation,G_LINK,2020-06-02,0,0.0,0.0,0.0,0,240,228000.0,950.0,0.02,2,-240,-228000.0,240,228000
1876096,101,181,SM,SM Investments Corporation,INVESTOR,2020-06-02,1000,950500.0,950.5,0.07,14,1000,950000.0,950.0,0.07,9,0,500.0,2000,1900500
1876097,101,185,SM,SM Investments Corporation,JPMORGAN,2020-06-02,500000,474000000.0,948.0,33.88,1,500000,474000000.0,948.0,33.88,1,0,0.0,1000000,948000000
1876098,101,199,SM,SM Investments Corporation,LUYS,2020-06-02,7500,7067705.0,942.360666666667,0.51,30,7500,7103410.0,947.121333333333,0.51,32,0,-35705.0,15000,14171115
1876099,101,200,SM,SM Investments Corporation,MANDARIN,2020-06-02,20630,19518160.0,946.1056713524,1.4,166,6810,6374460.0,936.044052863436,0.46,260,13820,13143700.0,27440,25892620
1876100,101,203,SM,SM Investments Corporation,CITISEC,2020-06-02,0,0.0,0.0,0.0,0,2000,1900000.0,950.0,0.14,3,-2000,-1900000.0,2000,1900000
1876101,101,209,SM,SM Investments Corporation,REGIS,2020-06-02,500,474750.0,949.5,0.03,1,88980,84251700.0,946.86109238031,6.03,161,-88480,-83776950.0,89480,84726450
1876102,101,217,SM,SM Investments Corporation,RCBC,2020-06-02,0,0.0,0.0,0.0,0,24920,23629245.0,948.204052969502,1.69,120,-24920,-23629245.0,24920,23629245
1876103,101,219,SM,SM Investments Corporation,PAPA,2020-06-02,2220,2100180.0,946.027027027027,0.15,3,18870,17894790.0,948.319554848967,1.28,120,-16650,-15794610.0,21090,19994970
1876104,101,220,SM,SM Investments Corporation,ATR,2020-06-02,180,170400.0,946.666666666667,0.01,17,8570,8107220.0,946.0,0.58,10,-8390,-7936820.0,8750,8277620
1876105,101,224,SM,SM Investments Corporation,PNB,2020-06-02,200,189280.0,946.4,0.01,2,1300,1232775.0,948.288461538462,0.09,11,-1100,-1043495.0,1500,1422055
1876106,101,229,SM,SM Investments Corporation,SALISBUR,2020-06-02,48940,46320960.0,946.484675112383,3.32,372,0,0.0,0.0,0.0,0,48940,46320960.0,48940,46320960
1876107,101,235,SM,SM Investments Corporation,REGINA,2020-06-02,0,0.0,0.0,0.0,0,90,85320.0,948.0,0.01,1,-90,-85320.0,90,85320
1876108,101,236,SM,SM Investments Corporation,R_NUBLA,2020-06-02,0,0.0,0.0,0.0,0,1120,1063680.0,949.714285714286,0.08,6,-1120,-1063680.0,1120,1063680
1876109,101,237,SM,SM Investments Corporation,AAA,2020-06-02,30,28510.0,950.333333333333,0.0,2,50,47100.0,942.0,0.0,2,-20,-18590.0,80,75610
1876110,101,238,SM,SM Investments Corporation,RS_LIM,2020-06-02,0,0.0,0.0,0.0,0,50,47500.0,950.0,0.0,1,-50,-47500.0,50,47500
1876111,101,243,SM,SM Investments Corporation,FIDELITY,2020-06-02,260,244605.0,940.788461538462,0.02,6,260,242760.0,933.692307692308,0.02,10,0,1845.0,520,487365
1876112,101,259,SM,SM Investments Corporation,UCPB,2020-06-02,0,0.0,0.0,0.0,0,600,570000.0,950.0,0.04,2,-600,-570000.0,600,570000
1876113,101,260,SM,SM Investments Corporation,UOB-KAY,2020-06-02,2470,2343465.0,948.771255060729,0.17,21,0,0.0,0.0,0.0,0,2470,2343465.0,2470,2343465
1876114,101,263,SM,SM Investments Corporation,VENTURE,2020-06-02,20,18240.0,912.0,0.0,1,20,18700.0,935.0,0.0,1,0,-460.0,40,36940
1876115,101,267,SM,SM Investments Corporation,FIRSTMETRO,2020-06-02,400,377200.0,943.0,0.03,12,3290,3071175.0,933.487841945289,0.22,32,-2890,-2693975.0,3690,3448375
1876116,101,269,SM,SM Investments Corporation,WEALTH,2020-06-02,7000,6629000.0,947.0,0.47,35,860,813950.0,946.453488372093,0.06,8,6140,5815050.0,7860,7442950
