id,stock_id,broker_id,stock_code,stock_name,broker_code,date,buy_volume,buy_value,buy_ave_price,buy_market_val_percent,buy_trade_count,sell_volume,sell_value,sell_ave_price,sell_market_val_percent,sell_trade_count,net_volume,net_value,total_volume,total_value
53547,79,175,AC,Ayala Corporation,BENNETT,2020-07-02,0,0.0,0.0,0.0,0,550,430750.0,783.181818181818,0.2,3,-550,-430750.0,550,430750
53548,79,182,AC,Ayala Corporation,IMPERIAL,2020-07-02,0,0.0,0.0,0.0,0,900,715900.0,795.444444444444,0.33,15,-900,-715900.0,900,715900
53549,79,185,AC,Ayala Corporation,JPMORGAN,2020-07-02,2200,1696655.0,771.206818181818,0.8,35,3190,2485430.0,779.131661442006,1.16,44,-990,-788775.0,5390,4182085
53550,79,199,AC,Ayala Corporation,LUYS,2020-07-02,8280,6438360.0,777.579710144927,3.01,37,8580,6744920.0,786.121212121212,3.12,71,-300,-306560.0,16860,13183280
53551,79,200,AC,Ayala Corporation,MANDARIN,2020-07-02,42970,33658790.0,783.309052827554,15.6,660,0,0.0,0.0,0.0,0,42970,33658790.0,42970,33658790
53552,79,203,AC,Ayala Corporation,CITISEC,2020-07-02,2000,1566500.0,783.25,0.73,6,2000,1561000.0,780.5,0.73,2,0,5500.0,4000,3127500
53553,79,209,AC,Ayala Corporation,REGIS,2020-07-02,10200,8056410.0,789.844117647059,3.7,33,230,178840.0,777.565217391304,0.08,9,9970,7877570.0,10430,8235250
53554,79,211,AC,Ayala Corporation,NEW_WRLD,2020-07-02,200,152900.0,764.5,0.07,3,1630,1286935.0,789.530674846626,0.59,32,-1430,-1134035.0,1830,1439835
53555,79,217,AC,Ayala Corporation,RCBC,2020-07-02,2770,2153685.0,777.503610108303,1.01,6,0,0.0,0.0,0.0,0,2770,2153685.0,2770,2153685
53556,79,219,AC,Ayala Corporation,PAPA,2020-07-02,3180,2478270.0,779.330188679245,1.15,6,0,0.0,0.0,0.0,0,3180,2478270.0,3180,2478270
53557,79,220,AC,Ayala Corporation,ATR,2020-07-02,6900,5431575.0,787.184782608696,2.51,63,5280,4126885.0,781.607007575758,1.92,57,1620,1304690.0,12180,9558460
53558,79,229,AC,Ayala Corporation,SALISBUR,2020-07-02,0,0.0,0.0,0.0,0,9940,7705450.0,775.196177062374,3.61,210,-9940,-7705450.0,9940,7705450
53559,79,230,AC,Ayala Corporation,QUALITY,2020-07-02,9100,7114550.0,781.818681318681,3.3,4,1310,1038365.0,792.645038167939,0.48,9,7790,6076185.0,10410,8152915
53560,79,237,AC,Ayala Corporation,AAA,2020-07-02,80,62810.0,785.125,0.03,3,140,109810.0,784.357142857143,0.05,6,-60,-47000.0,220,172620
53561,79,243,AC,Ayala Corporation,FIDELITY,2020-07-02,250,193250.0,773.0,0.09,1,250,194250.0,777.0,0.09,2,0,-1000.0,500,387500
53562,79,252,AC,Ayala Corporation,FIRSTRES,2020-07-02,0,0.0,0.0,0.0,0,950,755450.0,795.21052631579,0.34,14,-950,-755450.0,950,755450
53563,79,253,AC,Ayala Corporation,TOWER,2020-07-02,0,0.0,0.0,0.0,0,300,237000.0,790.0,0.11,1,-300,-237000.0,300,237000
53564,79,267,AC,Ayala Corporation,FIRSTMETRO,2020-07-02,1560,1210890.0,776.211538461538,0.57,19,5530,4369795.0,790.19801084991,2.01,70,-3970,-3158905.0,7090,5580685
53565,79,269,AC,Ayala Corporation,WEALTH,2020-07-02,22350,17486180.0,782.379418344519,8.12,32,0,0.0,0.0,0.0,0,22350,17486180.0,22350,17486180
53566,79,278,AC,Ayala Corporation,YU,2020-07-02,0,0.0,0.0,0.0,0,500,392000.0,784.0,0.18,2,-500,-392000.0,500,392000
53567,79,279,AC,Ayala Corporation,BDO,2020-07-02,0,0.0,0.0,0.0,0,3740,2958350.0,791.002673796791,1.36,12,-3740,-2958350.0,3740,2958350
53568,79,285,AC,Ayala Corporation,G_TOWER,2020-07-02,0,0.0,0.0,0.0,0,1000,795000.0,795.0,0.36,1,-1000,-795000.0,1000,795000
53569,79,286,AC,Ayala Corporation,SOLAR,2020-07-02,0,0.0,0.0,0.0,0,990,786675.0,794.621212121212,0.36,17,-990,-786675.0,990,786675
53570,79,323,AC,Ayala Corporation,CLSA,2020-07-02,13320,10397400.0,780.585585585586,4.84,68,13580,10599995.0,780.559278350516,4.93,29,-260,-202595.0,26900,20997395
53571,79,333,AC,Ayala Corporation,UBS,2020-07-02,29000,22670645.0,781.746379310345,10.53,43,55090,43060030.0,781.63060446542,20.0,80,-26090,-20389385.0,84090,65730675
53572,79,338,AC,Ayala Corporation,PEP,2020-07-02,38830,30555955.0,786.916173062066,14.1,133,56990,44661680.0,783.675732584664,20.69,482,-18160,-14105725.0,95820,75217635
53573,79,345,AC,Ayala Corporation,UNICAP,2020-07-02,0,0.0,0.0,0.0,0,150,114450.0,763.0,0.05,1,-150,-114450.0,150,114450
53574,79,488,AC,Ayala Corporation,TIMSON,2020-07-02,1140,895635.0,785.644736842105,0.41,14,1190,929460.0,781.058823529412,0.43,22,-50,-33825.0,2330,1825095
53575,79,528,AC,Ayala Corporation,STARALL,2020-07-02,0,0.0,0.0,0.0,0,530,410275.0,774.103773584906,0.19,18,-530,-410275.0,530,410275
