id,stock_id,broker_id,stock_code,stock_name,broker_code,date,buy_volume,buy_value,buy_ave_price,buy_market_val_percent,buy_trade_count,sell_volume,sell_value,sell_ave_price,sell_market_val_percent,sell_trade_count,net_volume,net_value,total_volume,total_value
496437,156,111,CEB,"Cebu Air, Inc.",ANSALDO,2020-07-27,3000,114000.0,38.0,1.56,1,0,0.0,0.0,0.0,0,3000,114000.0,3000,114000
496438,156,112,CEB,"Cebu Air, Inc.",ABCAP,2020-07-27,4300,160385.0,37.2988372093023,2.23,13,0,0.0,0.0,0.0,0,4300,160385.0,4300,160385
496439,156,118,CEB,"Cebu Air, Inc.",ASIASEC,2020-07-27,0,0.0,0.0,0.0,0,12200,454055.0,37.2176229508197,6.32,33,-12200,-454055.0,12200,454055
496440,156,126,CEB,"Cebu Air, Inc.",BPI,2020-07-27,37500,1410855.0,37.6228,19.44,31,8400,312530.0,37.2059523809524,4.35,10,29100,1098325.0,45900,1723385
496441,156,131,CEB,"Cebu Air, Inc.",NOMURA,2020-07-27,5800,216295.0,37.2922413793103,3.01,21,8600,321290.0,37.3593023255814,4.46,12,-2800,-104995.0,14400,537585
496442,156,133,CEB,"Cebu Air, Inc.",COL,2020-07-27,37100,1383010.0,37.277897574124,19.23,122,119200,4477985.0,37.5669882550336,61.79,187,-82100,-3094975.0,156300,5860995
496443,156,145,CEB,"Cebu Air, Inc.",DVRSFIED,2020-07-27,3000,111600.0,37.2,1.56,2,0,0.0,0.0,0.0,0,3000,111600.0,3000,111600
496444,156,147,CEB,"Cebu Air, Inc.",E_CHUA,2020-07-27,2000,74300.0,37.15,1.04,5,0,0.0,0.0,0.0,0,2000,74300.0,2000,74300
496445,156,150,CEB,"Cebu Air, Inc.",EASTERN,2020-07-27,400,15000.0,37.5,0.21,2,0,0.0,0.0,0.0,0,400,15000.0,400,15000
496446,156,200,CEB,"Cebu Air, Inc.",MANDARIN,2020-07-27,9400,351700.0,37.4148936170213,4.87,24,27900,1035240.0,37.105376344086,14.46,40,-18500,-683540.0,37300,1386940
496447,156,211,CEB,"Cebu Air, Inc.",NEW_WRLD,2020-07-27,3000,111150.0,37.05,1.56,1,0,0.0,0.0,0.0,0,3000,111150.0,3000,111150
496448,156,217,CEB,"Cebu Air, Inc.",RCBC,2020-07-27,200,7440.0,37.2,0.1,1,0,0.0,0.0,0.0,0,200,7440.0,200,7440
496449,156,220,CEB,"Cebu Air, Inc.",ATR,2020-07-27,6000,226400.0,37.7333333333333,3.11,6,0,0.0,0.0,0.0,0,6000,226400.0,6000,226400
496450,156,230,CEB,"Cebu Air, Inc.",QUALITY,2020-07-27,1500,55650.0,37.1,0.78,3,0,0.0,0.0,0.0,0,1500,55650.0,1500,55650
496451,156,237,CEB,"Cebu Air, Inc.",AAA,2020-07-27,0,0.0,0.0,0.0,0,500,18515.0,37.03,0.26,3,-500,-18515.0,500,18515
496452,156,238,CEB,"Cebu Air, Inc.",RS_LIM,2020-07-27,12600,470550.0,37.3452380952381,6.53,13,0,0.0,0.0,0.0,0,12600,470550.0,12600,470550
496453,156,267,CEB,"Cebu Air, Inc.",FIRSTMETRO,2020-07-27,12000,449405.0,37.4504166666667,6.22,26,12500,467980.0,37.4384,6.48,23,-500,-18575.0,24500,917385
496454,156,279,CEB,"Cebu Air, Inc.",BDO,2020-07-27,27300,1025870.0,37.5776556776557,14.15,12,0,0.0,0.0,0.0,0,27300,1025870.0,27300,1025870
496455,156,338,CEB,"Cebu Air, Inc.",PEP,2020-07-27,0,0.0,0.0,0.0,0,2000,74000.0,37.0,1.04,1,-2000,-74000.0,2000,74000
496456,156,345,CEB,"Cebu Air, Inc.",UNICAP,2020-07-27,2000,75000.0,37.5,1.04,1,0,0.0,0.0,0.0,0,2000,75000.0,2000,75000
496457,156,368,CEB,"Cebu Air, Inc.",SUN,2020-07-27,2500,92750.0,37.1,1.3,4,0,0.0,0.0,0.0,0,2500,92750.0,2500,92750
496458,156,102,CEB,"Cebu Air, Inc.",ABACUS,2020-07-28,4200,155700.0,37.0714285714286,2.79,8,1000,37000.0,37.0,0.66,7,3200,118700.0,5200,192700
496459,156,103,CEB,"Cebu Air, Inc.",PHLSTOCK,2020-07-28,100,3700.0,37.0,0.07,1,800,29600.0,37.0,0.53,3,-700,-25900.0,900,33300
496460,156,112,CEB,"Cebu Air, Inc.",ABCAP,2020-07-28,1000,37000.0,37.0,0.66,1,0,0.0,0.0,0.0,0,1000,37000.0,1000,37000
496461,156,118,CEB,"Cebu Air, Inc.",ASIASEC,2020-07-28,0,0.0,0.0,0.0,0,94900,3524450.0,37.1385669125395,62.93,52,-94900,-3524450.0,94900,3524450
496462,156,126,CEB,"Cebu Air, Inc.",BPI,2020-07-28,4500,166765.0,37.0588888888889,2.98,12,800,29650.0,37.0625,0.53,4,3700,137115.0,5300,196415
496463,156,131,CEB,"Cebu Air, Inc.",NOMURA,2020-07-28,300,11095.0,36.9833333333333,0.2,3,8200,302925.0,36.9420731707317,5.44,20,-7900,-291830.0,8500,314020
496464,156,133,CEB,"Cebu Air, Inc.",COL,2020-07-28,24000,888095.0,37.0039583333333,15.92,78,35100,1301110.0,37.068660968661,23.28,79,-11100,-413015.0,59100,2189205
496465,156,147,CEB,"Cebu Air, Inc.",E_CHUA,2020-07-28,600,22200.0,37.0,0.4,2,0,0.0,0.0,0.0,0,600,22200.0,600,22200
